id,amp,shift,wavenum,angfreq,GDR
1,0.500494156821891,-0.739060234988625,0.0182370942826476,-0.219282959374071,25.7071731110715
2,0.959638303667524,0.496286796609998,0.0025966746232138,0.198417355958936,-12.2646291142802
3,0.846268052429475,0.667246438242777,0.0137344607129313,0.2324845552588,-15.9107131156854
4,0.0855852866382019,-0.477938677747012,0.0152866724840677,-0.0702192782664531,15.629251200183
5,0.421042059852036,-0.160379358374763,0.00782171728836619,-0.0211298002024678,4.66929114334717
6,0.621277934689569,0.889839945253431,0.00179734627581171,-0.0494386397764548,-19.6922678354346
7,0.438048515593373,-0.504960184761414,0.00122553229462928,-0.218138644874954,16.7253060502506
8,0.185231702898111,0.313559679540593,0.0104766603453071,-0.186750345984252,-8.32737201657356
9,0.0177328228432307,-0.339787107580379,0.00418702054299828,0.170336475154093,10.939432248887
10,0.676675837867722,-0.980537333229746,0.00884794295185033,-0.118358725721473,34.7001387295401
11,0.309634232034567,0.620203620194337,0.00547071685389691,0.118581508690294,-14.8570506660553
12,0.725870200954183,0.852289346208112,0.0114392847886427,-0.145019189661977,-19.516796830276
13,0.344154167671927,0.164681165381825,0.0173954842094082,0.0836771555096801,-4.28163838967072
14,0.805954808204657,0.0590144313483818,0.019836237902287,0.0405140601377561,-1.93556878127644
15,0.897842493489825,-0.0193795702649814,0.0067729587047934,0.00550238121840507,1.21585644365292
16,0.235908183709002,-0.770072680126213,0.0146318534993381,0.147731178685937,26.9841021423051
17,0.836641186475754,1,0.00892362177371979,0.0434084236621857,-21.4335210368767
18,0.388391456604004,1,0.0146160697937012,-0.00304771959781647,-22.0685173165113
19,1,1,0.000483249202370644,-0.25,-21.7669806125638
20,1,1,0.02,0.00103244185447693,-21.833629555103
21,0.482792792618275,1,0.02,0.129518032073975,-21.8997932856966
22,0.01,1,0.02,-0.25,-22.0620160311004
23,0.01,1,0,-0.25,-21.8764000432992
24,0.01,1,0.02,0.25,-22.1855604026307
25,1,1,0.02,-0.25,-22.0280351281038
26,0.01,1,0,0.25,-21.9544030304848
27,0.01,1,0.02,0.0139472782611847,-21.9975817373068
28,0.419040257036686,1,0.00960184037685394,-0.25,-22.0703019886349
29,0.01,1,0.0109295010566711,0.25,-22.0361709699802
30,0.01,1,0.00811536192893982,0.0112521946430206,-22.1734082448415
31,0.43057041913271,0.791521072387695,0.00337816387414932,-0.224649706855416,-18.4455970402468
32,1,1,0,0.25,-21.8759812513487
33,0.01,1,0.0116540026664734,-0.25,-21.929365106594
34,0.468748185634613,1,0.02,-0.25,-21.7490092076193
35,1,1,0.02,0.25,-21.8268444428643
36,0.832211056947708,0.940037369728088,0.0166706240177155,-0.0193931311368942,-21.0174827403603
